name,locality,cuisines,cost,highlights,aggregate_rating,rating_text,votes,type
Delhi Darbar,Majra,North Indian,600,"Dinner, Lunch, Cash, Air Conditioned, Indoor Seating",4,Very Good,195,Quick Bites
Tuhada Dhaba,Chukkuwala,North Indian,250,"Dinner, Takeaway Available, Lunch, Cash, No Alcohol Available, Free Parking, Digital Payments Accepted, Indoor Seating, Pure Veg",3.9,Good,179,Quick Bites
Naths Chinese,Hathibarkala Salwala,"Chinese, Momos",200,"Lunch, Cash, No Alcohol Available, Dinner, Takeaway Available, Outdoor Seating, Free Parking",3.9,Good,151,Quick Bites
Standard Bakers Products,Rajpur,"Bakery, Fast Food, Desserts",200,"No Seating Available, Cash, Takeaway Available, Delivery, Digital Payments Accepted, Desserts and Bakes",4,Very Good,115,Bakery
LOpéra Salon de Thé,Karanpur,"Bakery, Desserts, Fast Food, Cafe",1000,"Delivery, No Alcohol Available, Cash, Credit Card, Takeaway Available, Debit Card, Desserts and Bakes, Indoor Seating",4.2,Very Good,86,Dessert Parlour
Brew Factory,Malsi,"Italian, Continental",1000,"Debit Card, Credit Card, Cash, Lunch, Dinner, Fullbar, Craft Beer, Axis Bank - Dining Delights",4,Very Good,165,Microbrewery
Prez Restaurant,"Hotel President, Karanpur","North Indian, Chinese, Continental",2000,"Credit Card, Cash, Dinner, Delivery, Serves Alcohol, Lunch, Debit Card, Indoor Seating, Air Conditioned, Fullbar, Table Reservation Not Required",4,Very Good,163,Casual Dining
Cafe Travertine,Subhash Nagar,"North Indian, Asian, Continental",2000,"No Alcohol Available, Credit Card, Breakfast, Dinner, Cash, Debit Card, Lunch, Indoor Seating, Serves Cocktails, Table Reservation Not Required, Fullbar, Desserts and Bakes",0,Not rated,0,Quick Bites
Epicurean,"Ashok Spa & Resorts, Morowala","Mughlai, Asian, British",1800,"Cash, Debit Card, Takeaway Available, Lunch, Credit Card, No Alcohol Available, Dinner, Outdoor Seating, Indoor Seating, Table booking recommended, Poolside, Air Conditioned, Digital Payments Accepted",3.7,Good,23,Fine Dining
Opal Lounge,Chukkuwala,"North Indian, Continental, Chinese",1600,"Credit Card, Debit Card, Takeaway Available, Cash, Serves Alcohol, Lunch, Dinner, Air Conditioned, Live Music, Indoor Seating, DJ, Axis Bank - Dining Delights, Above 18 Only, Nightlife, Fullbar, Digital Payments Accepted",3.7,Good,80,Casual Dining
The Terrace - Four Points by Sheraton Dehradun,"Four Points by Sheraton, Jakhan","North Indian, Chinese, Italian",1500,"Serves Alcohol, Debit Card, Lunch, Dinner, Credit Card, Takeaway Available, Cash, Luxury Dining, Outdoor Seating, Fullbar, Valet Parking Available, 4/5 Star, Air Conditioned, Table booking recommended",3.8,Good,144,Fine Dining
The Tavern Restaurant,"Crossroads Mall, Karanpur","North Indian, Chinese, Continental, Italian, Thai",1500,"Mall Parking, Delivery, Cash, Lunch, Dinner, Serves Alcohol, Takeaway Available, Credit Card, Debit Card, Air Conditioned, Above 18 Only, Indoor Seating, Valet Parking Available, Fullbar, Live Music, Wifi, Nightlife",3.9,Good,125,Casual Dining
